11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,28,28,28,28,28,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,28,28,28,28,28,11
11,28,28,28,28,28,28,28,11,28,28,28,28,28,11,11,11,11,11,11,11,11,11,11,11,11,28,28,28,28,28,11,28,28,28,28,28,28,28,11
11,28,28,28,28,28,28,28,11,28,31,11,28,28,28,28,28,28,28,28,30,28,28,28,28,28,28,28,11,28,28,11,28,28,28,28,28,28,28,11
11,28,28,28,11,11,11,28,11,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,11,28,11,11,11,28,28,28,11
11,28,28,28,11,11,11,28,11,28,28,11,28,28,11,28,11,11,11,11,11,11,11,11,28,11,28,28,11,28,28,11,28,11,11,11,28,28,28,11
11,28,28,28,11,11,11,28,28,28,28,11,28,28,11,28,28,28,28,11,11,28,28,28,28,11,28,28,11,28,28,28,28,11,11,11,28,28,28,11
11,28,28,28,28,28,28,28,28,28,28,11,28,28,11,11,11,28,28,11,11,28,28,11,11,11,28,28,11,28,28,28,28,28,28,28,28,28,28,11
11,28,28,28,28,28,28,28,28,28,28,11,28,28,11,28,28,28,28,11,11,28,28,28,28,11,28,28,11,28,28,28,28,28,28,28,28,28,28,11
11,28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,28,28,11,11,28,28,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,28,11
11,11,11,11,28,28,28,11,11,11,11,11,11,28,28,28,28,28,28,11,11,28,28,28,28,28,28,11,11,11,11,11,11,28,28,28,11,11,11,11
-1,-1,-1,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11,-1,-1,-1
-1,-1,-1,11,28,28,28,28,28,28,28,28,28,11,28,28,11,11,28,28,28,28,11,11,28,28,11,28,28,28,28,28,28,28,28,28,11,-1,-1,-1
11,11,11,11,28,28,28,28,28,28,28,28,28,11,28,28,11,28,28,28,32,28,28,11,28,28,11,28,28,28,28,28,28,28,28,28,11,11,11,11
28,28,28,28,28,28,11,11,11,11,11,11,28,11,28,28,11,28,28,28,28,28,28,11,28,28,11,28,11,11,11,11,11,11,28,28,28,28,28,28
28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,11,28,28,28,28,28,28,11,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,28
11,11,11,11,28,28,28,28,28,28,28,28,28,11,28,28,11,11,11,11,11,11,11,11,28,28,11,28,28,28,28,28,28,28,28,28,11,11,11,11
-1,-1,-1,11,28,28,28,11,11,11,28,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,28,11,11,11,28,28,28,11,11,-1,-1
-1,-1,-1,11,28,28,28,11,11,11,28,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,28,11,11,11,28,28,28,11,-1,-1
11,11,11,11,28,28,28,11,11,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11,11,11,28,28,28,11,11,11,11
11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11,11,11,11,28,28,11,11,11,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11
11,28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,28,11,28,28,11,28,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,28,11
11,28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,28,11,28,28,11,28,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,11,11
11,28,28,28,28,28,28,11,11,11,11,28,11,28,11,28,28,28,11,28,28,11,28,28,28,11,28,11,28,11,11,11,11,28,28,28,28,28,11,11
11,28,28,31,28,28,28,28,28,28,11,28,11,28,11,28,28,28,11,28,28,11,28,28,18,11,28,11,28,11,28,28,28,28,28,28,28,28,11,11
11,28,28,28,28,28,28,28,28,28,11,28,11,28,28,28,28,28,28,30,28,28,28,28,28,28,28,11,28,11,28,28,28,28,28,28,28,28,11,11
11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11,11,11,11,11,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11
11,28,28,28,28,28,28,11,11,11,28,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,28,11,11,11,28,28,28,28,28,28,11
11,28,28,28,11,28,28,11,11,11,28,28,28,28,28,28,28,11,11,11,11,11,11,28,28,28,28,28,28,28,11,11,11,28,28,11,28,28,28,11
11,28,28,28,11,28,28,11,11,11,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,11,11,11,28,28,11,28,28,28,11
11,28,28,28,11,28,28,28,28,28,28,28,11,28,11,11,11,11,11,11,11,11,11,11,11,11,28,11,28,28,28,28,28,28,28,11,28,28,28,11
11,28,28,28,11,11,11,11,11,11,28,28,11,28,28,28,28,28,28,28,28,28,28,28,28,28,28,11,28,28,11,11,11,11,11,11,28,28,28,11
11,28,28,28,28,28,28,28,28,28,28,28,11,28,28,28,28,11,11,11,11,11,11,28,28,28,28,11,28,28,28,28,28,28,28,28,28,28,28,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
